,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.701,0.318,9,-13.368,1,0.0348,0.535,0.281,0.208,0.58,102.047,audio_features,2G2PpiNxdcNnPRKt76iShb,spotify:track:2G2PpiNxdcNnPRKt76iShb,https://api.spotify.com/v1/tracks/2G2PpiNxdcNnPRKt76iShb,https://api.spotify.com/v1/audio-analysis/2G2PpiNxdcNnPRKt76iShb,241213,4
1,0.539,0.323,1,-10.231,1,0.0376,0.934,6.39e-06,0.0986,0.261,141.228,audio_features,0nC1qkOgwU7yQZLpUQmUms,spotify:track:0nC1qkOgwU7yQZLpUQmUms,https://api.spotify.com/v1/tracks/0nC1qkOgwU7yQZLpUQmUms,https://api.spotify.com/v1/audio-analysis/0nC1qkOgwU7yQZLpUQmUms,177433,4
2,0.47,0.42,4,-10.883,1,0.0366,0.919,0.0368,0.111,0.309,153.132,audio_features,2JQ9wMmURQMY5ysth04rHO,spotify:track:2JQ9wMmURQMY5ysth04rHO,https://api.spotify.com/v1/tracks/2JQ9wMmURQMY5ysth04rHO,https://api.spotify.com/v1/audio-analysis/2JQ9wMmURQMY5ysth04rHO,323013,3
3,0.75,0.3,11,-14.689,0,0.0318,0.874,0.877,0.105,0.376,112.132,audio_features,1U5QOyelnnmuzjQGj2I059,spotify:track:1U5QOyelnnmuzjQGj2I059,https://api.spotify.com/v1/tracks/1U5QOyelnnmuzjQGj2I059,https://api.spotify.com/v1/audio-analysis/1U5QOyelnnmuzjQGj2I059,344333,4
4,0.63,0.316,6,-11.885,1,0.0293,0.898,0.00217,0.0616,0.477,82.529,audio_features,3JEye8rsrvGdlrBvZUgNIL,spotify:track:3JEye8rsrvGdlrBvZUgNIL,https://api.spotify.com/v1/tracks/3JEye8rsrvGdlrBvZUgNIL,https://api.spotify.com/v1/audio-analysis/3JEye8rsrvGdlrBvZUgNIL,173091,4
5,0.386,0.205,4,-16.699,1,0.0366,0.653,0.0448,0.106,0.623,172.373,audio_features,6UIxGIqWlO5wsddY44AV1R,spotify:track:6UIxGIqWlO5wsddY44AV1R,https://api.spotify.com/v1/tracks/6UIxGIqWlO5wsddY44AV1R,https://api.spotify.com/v1/audio-analysis/6UIxGIqWlO5wsddY44AV1R,152613,4
6,0.629,0.505,6,-9.663,0,0.0268,0.438,0.0,0.243,0.711,124.92,audio_features,3QVtICc8ViNOy4I5K14d8Z,spotify:track:3QVtICc8ViNOy4I5K14d8Z,https://api.spotify.com/v1/tracks/3QVtICc8ViNOy4I5K14d8Z,https://api.spotify.com/v1/audio-analysis/3QVtICc8ViNOy4I5K14d8Z,147027,4
7,0.458,0.408,9,-11.652,1,0.0308,0.943,0.646,0.119,0.706,89.949,audio_features,0mcWKziW0mw318C9s5dA3m,spotify:track:0mcWKziW0mw318C9s5dA3m,https://api.spotify.com/v1/tracks/0mcWKziW0mw318C9s5dA3m,https://api.spotify.com/v1/audio-analysis/0mcWKziW0mw318C9s5dA3m,199987,4
8,0.571,0.172,7,-20.7,1,0.0318,0.979,0.275,0.124,0.297,90.972,audio_features,5I6y1KWmUoV5YCaIEcs1qs,spotify:track:5I6y1KWmUoV5YCaIEcs1qs,https://api.spotify.com/v1/tracks/5I6y1KWmUoV5YCaIEcs1qs,https://api.spotify.com/v1/audio-analysis/5I6y1KWmUoV5YCaIEcs1qs,307698,4
9,0.44,0.344,5,-10.014,1,0.0288,0.306,0.0,0.108,0.21,74.684,audio_features,1Ozj5XjZUAdnSedBxMgCwO,spotify:track:1Ozj5XjZUAdnSedBxMgCwO,https://api.spotify.com/v1/tracks/1Ozj5XjZUAdnSedBxMgCwO,https://api.spotify.com/v1/audio-analysis/1Ozj5XjZUAdnSedBxMgCwO,289827,4
